ID,tip_dobra,opis_dobra,naziv,povrsina_ha
1,NP,Nacionalni park,Fruška gora,26656.42
2,PIO,Predeo izuzetnih odlika,Karas - Nera,1540.38
3,PIO,Predeo izuzetnih odlika,Subotička peščara,5392.45
4,PIO,Predeo izuzetnih odlika,Vršačke planine,4412.08
5,PP,Park prirode,Begečka jama,393.58
6,PP,Park prirode,Beljanska bara,173.17
7,PP,Park prirode,Jegrička,1.19
8,PP,Park prirode,Kamaraš,263.8
9,PP,Park prirode,Palić,711.73
10,PP,Park prirode,Ponjavica,303.63
11,PP,Park prirode,Rusanda,1159.3
12,PP,Park prirode,Stara Tisa kod Bisernog ostrva,392.11
13,PP,Park prirode,Tikvara,553.6
14,PS,Prirodni spomenik,Sastojina starih slavonskih hrastova Smogva,7.81
15,PS,Prirodni spomenik,Botanicki lokalitet stepske vegetacije Čarnok,2.84
16,PŠ,Park šuma,Bukinski Hrastik,261.66
17,PS,Prirodni spomenik,Park-arboretum ''Aleksa Šantić'',6.89
18,SP,Spomenik prirode,Crni dud u Sremskim Karlovcima,6.03
19,SP,Spomenik prirode,Divlji kesten u Sremskim Karlovcima,6.03
20,SP,Spomenik prirode,Dunavski park,5.47
21,SP,Spomenik prirode,Dvorska basta u Sremskim Karlovcima,7.27
22,SP,Spomenik prirode,Futoški park,8.13
23,SP,Spomenik prirode,Ivanovačka ada,6.06
24,SP,Spomenik prirode,Kamenički park,33.6
25,SP,Spomenik prirode,Park Blandas,2.69
26,SP,Spomenik prirode,Park čelarevskog dvorca,7.42
27,SP,Spomenik prirode,Park dvorca u Hajdučici,18.37
28,SP,Spomenik prirode,Platan u Sremskim Karlovcima,6.03
29,SP,Spomenik prirode,Šimšir u Sremskim Karlovcima,6.03
30,SP,Spomenik prirode,Stabla hrasta lužnjaka na Paliću,2.26
31,SP,Spomenik prirode,Stari park u Velikom Gaju,5.97
32,SP,Spomenik prirode,Stari park u Vlajkovcu,0.52
33,SP,Spomenik prirode,Straža,61.4
34,SP,Spomenik prirode,Šuma Junaković,182.33
35,SRP,Specijalni rezervat prirode,Bagremara,116.35
36,SRP,Specijalni rezervat prirode,Carska bara,4723.34
37,SRP,Specijalni rezervat prirode,Deliblatska peščara,35322.43
38,SRP,Specijalni rezervat prirode,Gornje Podunavlje,19343.64
39,SRP,Specijalni rezervat prirode,Kardjordjevo,3043.15
40,SRP,Specijalni rezervat prirode,Koviljsko-petrovaradinski rit,5883.02
41,SRP,Specijalni rezervat prirode,Kraljevac,261.57
42,SRP,Specijalni rezervat prirode,Ludaško jezero,850.27
43,SRP,Specijalni rezervat prirode,Obedska bara,9889.4
44,SRP,Specijalni rezervat prirode,Okanj Bara,5493.78
45,SRP,Specijalni rezervat prirode,Pašnjaci velike droplje,1010.1
46,SRP,Specijalni rezervat prirode,Ritovi donjeg Potisja,3009.39
47,SRP,Specijalni rezervat prirode,Selevenjske pustare,645.89
48,SRP,Specijalni rezervat prirode,Slano kopovo,999.59
49,SRP,Specijalni rezervat prirode,Titelski breg,495.84
50,SRP,Specijalni rezervat prirode,Zasavica,835.04
51,STPR,Strogi rezervat prirode,Majzecova bašta,57.67
52,STPR,Strogi rezervat prirode,Radjenovci,83.12
53,STPR,Strogi rezervat prirode,Raskovica,33.58
54,STPR,Strogi rezervat prirode,Ritske šume na Mačkovom sprudu,1.61
55,STPR,Strogi rezervat prirode,Stara Vratična,28.56
56,STPR,Strogi rezervat prirode,Varoš,42.62
57,STPR,Strogi rezervat prirode,Vinična,58.14
58,SVA,Spomenik vrtne arhitekture,Stari park u Novom Kneževcu,9.91
59,ZS,Zaštićeno stanište,Bara Trskovača,168.05
60,ZS,Zaštićeno stanište,Mali vršački rit,930.63