ID,tip_dobra,opis_dobra,naziv,god
4,SP,Spomenik prirode,Stablo jasike,1997
5,SP,Spomenik prirode,Sam-dud,1995
6,SP,Spomenik prirode,Hrast Koce kapetana - (zapis),1997
7,SP,Spomenik prirode,Karadjordjev dud,1995
8,SP,Spomenik prirode,Platan u Sremskim Karlovcima,1995
9,SP,Spomenik prirode,Stablo hrasta kitnjaka - Debela granica,1997
10,SP,Spomenik prirode,Bor Cara Dusana,1995
11,SP,Spomenik prirode,Dva stabla hrasta luznjaka u okolini  manastira Zica,1997
12,SP,Spomenik prirode,Tisa u parku Patrijarsijskog dvora,1995
13,SP,Spomenik prirode,Stablo bukve Prozorac,2003
14,SP,Spomenik prirode,Visibaba - stabla luznjaka,2004
15,SP,Spomenik prirode,Visibaba - stabla luznjaka,2004
16,SP,Spomenik prirode,Visibaba - stabla luznjaka,2004
17,SP,Spomenik prirode,Visibaba - stabla luznjaka,2004
18,SP,Spomenik prirode,Stablo hrasta luznjaka (Quercus robur) poznato pod imenom Porodinsk,1968
19,SP,Spomenik prirode,Stablo hrasta luznjaka Radojkovica rast,1994
20,SP,Spomenik prirode,Cetiri stabla platana,1997
21,SP,Spomenik prirode,Grupa stabala Pet hrastova,1995
22,SP,Spomenik prirode,Hrast luznjak - Smederevo,1995
23,SP,Spomenik prirode,Stablo hrasta luznjaka Dolovo,1995
24,SP,Spomenik prirode,Stablo divoleske ili mecje leske (Corylus colurna Willd.),1970
25,SP,Spomenik prirode,Mecje leske na tru Svetog Save - Uzice,2008
26,SP,Spomenik prirode,Stablo hrasta luznjaka (Quercus robur L.)  Kolare,1970
27,SP,Spomenik prirode,Crni bor u klisuri reke Ibar,1997
28,SP,Spomenik prirode,Hrast cer Zagus zapis,2005
29,SP,Spomenik prirode,Crni bor Lira,2002
30,SP,Spomenik prirode,Grupa  stabala - Lozovik,1996
31,SP,Spomenik prirode,Munika u selu Seniste,2002
32,SP,Spomenik prirode,Stablo lipe Bela crkva,1996
33,SP,Spomenik prirode,Grupa stabala  Dobri potok,1996
34,SP,Spomenik prirode,Dva  hrasta luznjaka Vrnjci,1995
35,SP,Spomenik prirode,Hrast luznjak u Staroj Moravici,1997
36,SP,Spomenik prirode,Dva stabla tise u dvoristu Karlovacke gimnazije,1995
37,SP,Spomenik prirode,Bela topola kraj Strazilovskog potoka,1995
38,SP,Spomenik prirode,Divlji kesten u Sremskim Karlovcima,1995
39,SP,Spomenik prirode,Americki platan u Futogu,1995
40,SP,Spomenik prirode,Crni dud u Sremskim Karlovcima,1995
41,SP,Spomenik prirode,Grupa od osam stabala cera (Quercus cerris L.) - Palibrcki cerovi,1974
42,SP,Spomenik prirode,Stablo hrasta luznjaka Ljutice,1995
43,SP,Spomenik prirode,Stablo hrasta luznjaka - Bele vode,1995
44,SP,Spomenik prirode,Stablo hrasta cera - Poceca,1995
45,SP,Spomenik prirode,Beli dud u Gardinovcima,1999
46,SP,Spomenik prirode,Ginko u Apatinu,1994
47,SP,Spomenik prirode,Stablo hrasta cera u Donjoj Crnuci,1994
48,SP,Spomenik prirode,Tisa u Boticevoj,2001
49,SP,Spomenik prirode,Stopica Pecina,2005
50,SP,Spomenik prirode,Dva stabla tise u Subotici,1997
51,SP,Spomenik prirode,Javorolisni platan u Novom Sadu,1995
52,SP,Spomenik prirode,Koprivic u centru Novog Sada,1995
53,SP,Spomenik prirode,Tri stabla belog jasena kod Dolova,1999
54,SP,Spomenik prirode,Americki platan na Sajlovu,1995
55,SP,Spomenik prirode,Simsir u Sremskim Karlovcima,1995
56,SP,Spomenik prirode,Platan kod Milosevog konaka,2001
57,SP,Spomenik prirode,Cempres na Dedinju,2006
58,SP,Spomenik prirode,Dve tise Saborne crkve,2005
59,SP,Spomenik prirode,Hrast na Cvetnom trgu,2001
60,SP,Spomenik prirode,Platan na Vracaru,2002
61,SP,Spomenik prirode,Bela topola u Molu,2000
62,SP,Spomenik prirode,Tisa u Pozeskoj ulici,2006
63,SP,Spomenik prirode,Stablo hrasta luznjaka Strazev,1994
64,SP,Spomenik prirode,Hrast luznjak u sumi Kurjacica,1994
65,SP,Spomenik prirode,Stablo hrasta sladuna u Bratincu,1994
66,SP,Spomenik prirode,Dva stabla hrasta luznjaka -  Petrovac,2002
67,SP,Spomenik prirode,Dva stabla hrasta luznjaka -  Petrovac,2002
68,SP,Spomenik prirode,Bela topola kod Stare Pazove,2001
69,SP,Spomenik prirode,Ginko na Vracaru,2006
70,SP,Spomenik prirode,Dva stabla hrasta luznjaka Djurdjevak,1997
71,SP,Spomenik prirode,Dva stabla hrasta luznjaka Djurdjevak,1997
72,SP,Spomenik prirode,Dva hrasta Vracevic,2002
73,SP,Spomenik prirode,Dud na Cenejskom salasu,1995
74,SP,Spomenik prirode,Hrast luznjak u dvoristu crpne stanice kod sumana,1999
75,SP,Spomenik prirode,Americki platan kod Sonte,1994
76,SP,Spomenik prirode,Grupa stabala hrasta luznjaka kod Jelenskog ostrva,1994
77,SP,Spomenik prirode,Grupa stabala hrasta luznjaka kod Jelenskog ostrva,1994
78,SP,Spomenik prirode,Grupa stabala hrasta luznjaka kod Jelenskog ostrva,1994
79,SP,Spomenik prirode,Grupa stabala hrasta luznjaka kod Jelenskog ostrva,1994
80,SP,Spomenik prirode,Grupa stabala hrasta luznjaka kod Jelenskog ostrva,1994
81,SP,Spomenik prirode,Divlja kruska kod Svilojeva,1994
82,SP,Spomenik prirode,Hrast sladun,1994
83,SP,Spomenik prirode,Engleski poljski brest u Sajkasu,1999
84,SP,Spomenik prirode,Lukica hrast - Ranilovic - (zapis),1995
85,SP,Spomenik prirode,Grupa stabala hrasta luznjaka Kod Jozica kolibe,1996
86,SP,Spomenik prirode,Stablo hrasta luznjaka Vranesi,1997
87,SP,Spomenik prirode,Stablo lipe- Mira,1998
88,SP,Spomenik prirode,Lipa u Sapcu,2001
89,SP,Spomenik prirode,Dve magnolije u Boticevoj,2001
90,SP,Spomenik prirode,Dva stabla himalajskog borovca,2001
91,SP,Spomenik prirode,Dva stabla himalajskog borovca,2001
92,SP,Spomenik prirode,Stablo hrasta luznjaka Obrva,2001
93,SP,Spomenik prirode,Stablo breze u Donjoj Kravarici,2002
94,SP,Spomenik prirode,Stablo lipe u Guci,2002
95,SP,Spomenik prirode,Stablo bele vrbe u Guberevcima,2002
96,SP,Spomenik prirode,Stablo drena u Guberevcima,2002
97,SP,Spomenik prirode,Stablo hrasta sladuna u Vlasteljicama,2002
98,SP,Spomenik prirode,Stablo lipe u Kaoni,2002
99,SP,Spomenik prirode,Stablo drena u Vici,2002
100,SP,Spomenik prirode,Stablo klena u Vici,2002
101,SP,Spomenik prirode,Stablo lipe u Saniku,2002
102,SP,Spomenik prirode,Hrast Dici - (zapis),2002
103,SP,Spomenik prirode,Platan u dvoristu OS Milos Crnjanski,2002
104,SP,Spomenik prirode,Stablo hrasta luznjaka Debeli grm-Runjani,2003
105,SP,Spomenik prirode,Cerovi kod Djusinog groba,2003
106,SP,Spomenik prirode,Stablo hrasta luznjaka u selu Crna Bara,2003
107,SP,Spomenik prirode,Novoselski brest zapis,2003
108,SP,Spomenik prirode,Dud zapis u Medosevcu,2003
109,SP,Spomenik prirode,Pavlovicev hrast u Donjoj Trnavi,2003
110,SP,Spomenik prirode,Rajkovicev hrast,2003
111,SP,Spomenik prirode,Hrast zapis kod Banjickog jezera - (zapis),2003
112,SP,Spomenik prirode,Cer zapis u Leskoviku,2003
113,SP,Spomenik prirode,Beli dud u Niskoj Banji,2003
114,SP,Spomenik prirode,Stablo hrasta luznjaka-Jovanov hrast zapis,2003
115,SP,Spomenik prirode,Stablo cera- Zdravinjski cer zapis,2003
116,SP,Spomenik prirode,Stablo oraha,2003
117,SP,Spomenik prirode,Brdjanka-divlja kruska (zapis),2003
118,SP,Spomenik prirode,Stari hrast u Godacici,2003
119,SP,Spomenik prirode,Bogojevacki brest - zapis,2004
120,SP,Spomenik prirode,Stablo topole - zapis u Guberevcu,2004
121,SP,Spomenik prirode,Kutleski hrast- zapis,2004
122,SP,Spomenik prirode,Stablo oskoruse,2004
123,SP,Spomenik prirode,Fikus - Cacak,2004
124,SP,Spomenik prirode,Zapis u Leskoviku,2006
125,SP,Spomenik prirode,Bela topola u Kukujevcima,2005
126,SP,Spomenik prirode,Dva stabla hrasta luznjaka u Gibarcu,2005
127,SP,Spomenik prirode,Hrast luznjak u Zrenjaninu,2006
128,SP,Spomenik prirode,Beli dud u Belom Blatu,2006
129,SP,Spomenik prirode,Gojkovica lipa,2007
130,SP,Spomenik prirode,Stablo hrasta luznjaka Platnara,2007
131,SP,Spomenik prirode,Kesten Curcina u Pancevu,2007
132,SP,Spomenik prirode,Bukva na Dedinju,2008
133,SP,Spomenik prirode,Hrast Cara Lazara,2003
134,SP,Spomenik prirode,Hrast Rasina,2010
135,SP,Spomenik prirode,Stablo hrasta u ataru sela Setka,2011
136,SP,Spomenik prirode,Panciceva omorika - Pasjaca,1997
137,SP,Spomenik prirode,Stablo belog jasena - Milocaj,1997
138,SP,Spomenik prirode,Stablo belog jasena Zvezda,1997
139,SP,Spomenik prirode,Stablo bukve - Crvene Lokve,1997
140,SP,Spomenik prirode,Stablo hrasta luznjaka - Melnice,1996
141,SP,Spomenik prirode,Stablo brekinje na Grebenskom putu kod Letenke,1997
142,SP,Spomenik prirode,Crni bor u parku Vrnjacke Banje,1995
143,SP,Spomenik prirode,Vestacka sastojina mocvarnog cempresa,1997
144,SP,Spomenik prirode,Stablo hrasta luznjaka - Biorci,1994
145,SP,Spomenik prirode,Piramidalni hrast u Dunavskom parku,1995
146,SP,Spomenik prirode,Tri stabla mocvarnog cempresa u Futoskom parku,1995
147,SP,Spomenik prirode,Bela topola u Petrovaradinu,1995
148,SP,Spomenik prirode,Hrast kitnjak na grebenskom putu kod Zmajevca,1997
149,SP,Spomenik prirode,Tri stabla crnog oraha na predelu Kosaca,1997
150,SP,Spomenik prirode,Stablo bukve kod predela Banja,1997
151,SP,Spomenik prirode,Stablo breze na potezu Brankovac,1997
152,SP,Spomenik prirode,Stablo cera u blizini manastira Djipsa,1997
153,SP,Spomenik prirode,Stablo cera na Grebenskom putu kod Letenke,1997
154,SP,Spomenik prirode,Hrast kitnjak na Grebenskom putu kod Djurdjinog graba,1997
155,SP,Spomenik prirode,Hrast kitnjak na Grebenskom putu kod Lipovog cota,1997
156,SP,Spomenik prirode,Dva stabla hrasta cera - Seliste,1994
157,SP,Spomenik prirode,Stablo hrasta cera - Orlijak,1994
158,SP,Spomenik prirode,Stablo duglazije kod odmaralista Testera,1997
159,SP,Spomenik prirode,Azijski platan u sumi Duboki jendek,1994
160,SP,Spomenik prirode,Dva  hrasta luznjaka Vrnjci,1995
161,SP,Spomenik prirode,Dva stabla tise u dvoristu Karlovacke gimnazije,1995
162,SP,Spomenik prirode,Dva stabla tise u Subotici,1997
163,SP,Spomenik prirode,Dve tise Saborne crkve,2005
164,SP,Spomenik prirode,Divlja kruska knjeginje Ljubice,1994
165,SP,Spomenik prirode,Kesten Jaksica na Senjaku,2001
166,SP,Spomenik prirode,Panciceva omorika pod Omarom,1997
167,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
168,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
169,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
170,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
171,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
172,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
173,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
174,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
175,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
176,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
177,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
178,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
179,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
180,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
181,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
182,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
183,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
184,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
185,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
186,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
187,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
188,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
189,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
190,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
191,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
192,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
193,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
194,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
195,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
196,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
197,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
198,SP,Spomenik prirode,Sladun u Kladurovu,2013
199,SP,Spomenik prirode,Kesten na Dorcolu,2013
200,SP,Spomenik prirode,Tri  hrasta luznjaka - Bare,2006
201,SP,Spomenik prirode,Platan na zitnom trgu,2013
202,SP,Spomenik prirode,Hrast u ulici Mije Kovacevica,2014
203,PS,Spomenik prirode,Stabla u Zemunskom parku,1991
204,PS,Spomenik prirode,Stabla u Zemunskom parku,1991
205,PS,Spomenik prirode,Stabla u Zemunskom parku,1991
206,PS,Spomenik prirode,Stabla u Zemunskom parku,1991
207,PS,Spomenik prirode,Stabla u Zemunskom parku,1991
208,PS,Spomenik prirode,Stabla u Zemunskom parku,1991
209,PS,Spomenik prirode,Stabla u Zemunskom parku,1991
210,PS,Spomenik prirode,Stabla u Zemunskom parku,1991
211,PS,Spomenik prirode,Stabla u Zemunskom parku,1991
212,SP,Spomenik prirode,Crni bor u Crnostici,2014
